"jobpost","date","Title","Company","AnnouncementCode","Term","Eligibility","Audience","StartDate","Duration","Location","JobDescription","JobRequirment","RequiredQual","Salary","ApplicationP","OpeningDate","Deadline","Notes","AboutC","Attach","Year","Month","IT"
"KPMG Armenia CJSC
TITLE:  Business Consultant
OPEN TO/ ELIGIBILITY CRITERIA:  All interested candidates
START DATE/ TIME:  23 January 2006
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:
- Perform advisory projects, both as a part of the team and
independently;
- Perform investment feasibility studies, conduct marketing researches,
prepare marketing activity plans and business plans with relevant
financial projections in various business sectors;
- Participate in Strategic, Budgeting, Cost management and Performance
management advisory works;
- Prepare and conduct economic studies;
- Assist investors in the process of privatization;  
- Analyze statistic and economic/ financial information;
- Periodically review newspapers, magazines and other business related
literature; 
- Assist in/ review the translation of professional materials form/ into
English, Russian and Armenian languages.
REQUIRED QUALIFICATIONS:
- MBA or equivalent degree in Business Administration, Accounting and
Economics;
- Knowledge of local and international economy and finance;
- General knowledge of international and/ or local accounting
standards;
- Familiarity with basics of Management Information/ Accounting
Systems;
- General understanding of the regulatory framework governing the
business activities and the advisory/ accounting profession; 
- 2 years of relevant work experience, preferably in financial analysis,
accounting, business research and development field; 
- Experience in drafting business advisory reports; 
- Proven project participation;
- High sense of responsibility;
- Good interpersonal skills;
- Excellent written and verbal communication skills in English, Armenian
and Russian languages;
- Highly developed computer skills.
APPLICATION PROCEDURES:  Interested candidates should email their full
CV together with a motivation cover letter and a 3x4 size photo to:general@..., or bring copies to: 
KPMG Armenia CJSC, 8 Hanrapetutian Str, Yerevan, Armenia. Please,
clearly mention the position you are applying for.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  22 December 2005
APPLICATION DEADLINE:  29 December 2005
ABOUT COMPANY:  KPMG Armenia CJSC is an auditing and consulting company.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Dec 22, 2005","Business Consultant","KPMG Armenia CJSC","NA","NA","All interested candidates","NA","23 January 2006","Permanent","Yerevan, Armenia","- Perform advisory projects, both as a part of the team and
independently;
- Perform investment feasibility studies, conduct marketing researches,
prepare marketing activity plans and business plans with relevant
financial projections in various business sectors;
- Participate in Strategic, Budgeting, Cost management and Performance
management advisory works;
- Prepare and conduct economic studies;
- Assist investors in the process of privatization;  
- Analyze statistic and economic/ financial information;
- Periodically review newspapers, magazines and other business related
literature; 
- Assist in/ review the translation of professional materials form/ into
English, Russian and Armenian languages.","NA","- MBA or equivalent degree in Business Administration, Accounting and
Economics;
- Knowledge of local and international economy and finance;
- General knowledge of international and/ or local accounting
standards;
- Familiarity with basics of Management Information/ Accounting
Systems;
- General understanding of the regulatory framework governing the
business activities and the advisory/ accounting profession; 
- 2 years of relevant work experience, preferably in financial analysis,
accounting, business research and development field; 
- Experience in drafting business advisory reports; 
- Proven project participation;
- High sense of responsibility;
- Good interpersonal skills;
- Excellent written and verbal communication skills in English, Armenian
and Russian languages;
- Highly developed computer skills.","NA","Interested candidates should email their full
CV together with a motivation cover letter and a 3x4 size photo to:general@..., or bring copies to: 
KPMG Armenia CJSC, 8 Hanrapetutian Str, Yerevan, Armenia. Please,
clearly mention the position you are applying for.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","22 December 2005","29 December 2005","NA","KPMG Armenia CJSC is an auditing and consulting company.","NA","2005","12","FALSE"
"Career Center NGO
TITLE:  English Language Courses
OPEN TO/ ELIGIBILITY CRITERIA:  Everyone
LOCATION:  Yerevan, Armenia
DETAIL DESCRIPTION:  Weather youre just getting started, already know
English and want to improve your skills, want to prepare for an exam or
test, you can find the right course here. 
Career Center announces below mentioned English Language Courses:
MAIN ENGLISH COURSE (consisting a total of 6 levels)
1. Beginner (2 months)
2. Elementary
3. Pre-Intermediate
4. Intermediate
5. Upper-Intermediate
6. Advanced
The duration of each level (for levels 2-6) is 3 months.
SPECIAL COURSES:
- Business English - Level I
- Business English - Level II 
- Business English - Level III (Complete)
- TOEFL Preparation (Non certificate)
The duration of each level is 2 months.
Business English Courses also cover Special Business Writing and
Communication Classes.
APPLICATION PROCEDURES:  All interested candidates should visit Career
Center office with a passport and a 3x4 size photo and register as a
member on Mondays - Fridays, from 9:00 - 18:00. 
Monthly membership fee for all English language courses is 22,500 AMD. 
Registered students will pass a placement test and be placed with a
relevant group.
Registrations are not accepted by e-mail or telephone. For additional
inquiries on registration or courses please contact us using below
contact information.
Please clearly mention in your application letter that you learned of
this training opportunity through Career Center and mention the URL of
its website - www.careercenter.am, Thanks.
APPLICATION DEADLINE:  N/A
ABOUT COMPANY:  Career Center NGO
Phone: +374.1.234739; 241161
Phone/Fax: +374.1.241149
E-mail: mailbox@... 
Web site: www.careercenter.am 
Address: Komitas 56 Str., (next to Arabkir Zags)
Yerevan, 375051, Armenia
ABOUT:  COURSES
- Only highly qualified and certified language instructors selected by
Career Center will teach interested individuals with the latest methods
using the most decent study materials for each particular course.
- Our classes are conducted in English language only.
- Classes will take place in Career Center office, in a large, furnished
and warm room.
- For the whole duratin of their studies students will be provided with
necessary books and materials, so they don't have to purchase those.
There are no additional charges for using those materials.
- There will be 4-12 students in a group. 
- Sessions will be held 3 times a week and each of those will last 1.5
to 3 hours depending on the number of students in a group.
- All students passing the final level course will get relevant
certificates upon completion of their course. Certificates will match to
the level of induvidual's knowledge determined by the test results. Those
who fail to pass the test will not get certificates.
ADDITIONAL NOTES:  When visiting our office for registration, please
plan to spend about 30 minutes to take the language proficiency test.
ATTACHMENTS:
The following attachment(s) to this announcement can be downloaded from:http://www.careercenter.am/ccdspann.php?id=2423
1. English Language Courses in Armenian - English Courses_Armenian.doc
(46K)
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Dec 22, 2005","English Language Courses","Career Center NGO","NA","NA","Everyone","NA","NA","NA","Yerevan, Armenia
DETAIL DESCRIPTION:  Weather youre just getting started, already know
English and want to improve your skills, want to prepare for an exam or
test, you can find the right course here. 
Career Center announces below mentioned English Language Courses:
MAIN ENGLISH COURSE (consisting a total of 6 levels)
1. Beginner (2 months)
2. Elementary
3. Pre-Intermediate
4. Intermediate
5. Upper-Intermediate
6. Advanced
The duration of each level (for levels 2-6) is 3 months.
SPECIAL COURSES:
- Business English - Level I
- Business English - Level II 
- Business English - Level III (Complete)
- TOEFL Preparation (Non certificate)
The duration of each level is 2 months.
Business English Courses also cover Special Business Writing and
Communication Classes.","NA","NA","NA","NA","All interested candidates should visit Career
Center office with a passport and a 3x4 size photo and register as a
member on Mondays - Fridays, from 9:00 - 18:00. 
Monthly membership fee for all English language courses is 22,500 AMD. 
Registered students will pass a placement test and be placed with a
relevant group.
Registrations are not accepted by e-mail or telephone. For additional
inquiries on registration or courses please contact us using below
contact information.
Please clearly mention in your application letter that you learned of
this training opportunity through Career Center and mention the URL of
its website - www.careercenter.am, Thanks.","NA","N/A","When visiting our office for registration, please
plan to spend about 30 minutes to take the language proficiency test.","Career Center NGO
Phone: +374.1.234739; 241161
Phone/Fax: +374.1.241149
E-mail: mailbox@... 
Web site: www.careercenter.am 
Address: Komitas 56 Str., (next to Arabkir Zags)
Yerevan, 375051, Armenia
ABOUT:  COURSES
- Only highly qualified and certified language instructors selected by
Career Center will teach interested individuals with the latest methods
using the most decent study materials for each particular course.
- Our classes are conducted in English language only.
- Classes will take place in Career Center office, in a large, furnished
and warm room.
- For the whole duratin of their studies students will be provided with
necessary books and materials, so they don't have to purchase those.
There are no additional charges for using those materials.
- There will be 4-12 students in a group. 
- Sessions will be held 3 times a week and each of those will last 1.5
to 3 hours depending on the number of students in a group.
- All students passing the final level course will get relevant
certificates upon completion of their course. Certificates will match to
the level of induvidual's knowledge determined by the test results. Those
who fail to pass the test will not get certificates.","The following attachment(s) to this announcement can be downloaded from:http://www.careercenter.am/ccdspann.php?id=2423
1. English Language Courses in Armenian - English Courses_Armenian.doc
(46K)","2005","12","FALSE"
"MSF France
TITLE:  Clinical Psychologist
TERM:  Part time
START DATE/ TIME:  20 January 2006
DURATION:  6 months
LOCATION:  Yerevan and Abovian, Armenia
JOB DESCRIPTION:  MSF France is implementing a project called
""Detection, Diagnosis and treatment of drug resistant forms of
tuberculosis"" (TB). Within the scope of TB project the incombent will
provide patients and family members with therapeutic counseling to
address their mental health and improve their mental state.
JOB RESPONSIBILITIES:
- Assess patients' mental status;
- Assist psychosocial coordinator in the development of psychological
services;
- Assist patients with coping with length of treatment, stigma, family
issues, death and dying, etc;
- Develop and facilitate support groups;
- Collaborate with medical and psychosocial team;
- Participate in multi-disciplinary team meetings.
REQUIRED QUALIFICATIONS:
- Bachelor's or Master's degree in Psychology;
- Over 5 years of clinical/ theraputic experience; 
- Experience in a medical setting is preffered;
- Basic computer skills;
- Work experience with TB patients is a plus.
- Flexibility and organizational skills;
- Knowledge of Armenian and Russian languages;
- Ability to communicate in English.
APPLICATION PROCEDURES:  Please email your resume and motivation letter
to: msff@.... Only short-listed candidates will be contacted.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  23 December 2005
APPLICATION DEADLINE:  28 December 2005
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Dec 23, 2005","Clinical Psychologist","MSF France","NA","Part time","NA","NA","20 January 2006","6 months","Yerevan and Abovian, Armenia","MSF France is implementing a project called
""Detection, Diagnosis and treatment of drug resistant forms of
tuberculosis"" (TB). Within the scope of TB project the incombent will
provide patients and family members with therapeutic counseling to
address their mental health and improve their mental state.","- Assess patients' mental status;
- Assist psychosocial coordinator in the development of psychological
services;
- Assist patients with coping with length of treatment, stigma, family
issues, death and dying, etc;
- Develop and facilitate support groups;
- Collaborate with medical and psychosocial team;
- Participate in multi-disciplinary team meetings.","- Bachelor's or Master's degree in Psychology;
- Over 5 years of clinical/ theraputic experience; 
- Experience in a medical setting is preffered;
- Basic computer skills;
- Work experience with TB patients is a plus.
- Flexibility and organizational skills;
- Knowledge of Armenian and Russian languages;
- Ability to communicate in English.","NA","Please email your resume and motivation letter
to: msff@.... Only short-listed candidates will be contacted.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","23 December 2005","28 December 2005","NA","NA","NA","2005","12","FALSE"
"Accept Employment Agency
TITLE:  Tour Manager
ANNOUNCEMENT CODE:  259049
TERM:  Full time
START DATE/ TIME:  15 January 2006
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  We are looking for a dedicated, active, enthusiastic
and communicable person to work with an organization involved in
Tourism.
JOB RESPONSIBILITIES:
- Manage all tour related organizational and logistics matters;
- Find out ahead of time the interests and schedules of the tourists and
organize tours;
- Take care of tourists' hotel reservations, food and other
arrangements.
REQUIRED QUALIFICATIONS:
- Minimum 5 years of work experience, preferably in tourism or a related
field;
- Higher education;
- Excellent knowledge of English, Armenian and Russian languages.
Knowledge of other foreign languages will be a plus;
- Good computer skills;
- Have very good abilities to work in a team and experience of working
with foreigners.
REMUNERATION/ SALARY:  Starting from $300
APPLICATION PROCEDURES:  Please, email your detailed CV to:accept@... or call the Accept Employment Agency by 58 49 95; 58 49
45.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  26 December 2005
APPLICATION DEADLINE:  06 January 2006
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Dec 25, 2005","Tour Manager","Accept Employment Agency","259049","Full time","NA","NA","15 January 2006","NA","Yerevan, Armenia","We are looking for a dedicated, active, enthusiastic
and communicable person to work with an organization involved in
Tourism.","- Manage all tour related organizational and logistics matters;
- Find out ahead of time the interests and schedules of the tourists and
organize tours;
- Take care of tourists' hotel reservations, food and other
arrangements.","- Minimum 5 years of work experience, preferably in tourism or a related
field;
- Higher education;
- Excellent knowledge of English, Armenian and Russian languages.
Knowledge of other foreign languages will be a plus;
- Good computer skills;
- Have very good abilities to work in a team and experience of working
with foreigners.","Starting from $300","Please, email your detailed CV to:accept@... or call the Accept Employment Agency by 58 49 95; 58 49
45.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","26 December 2005","06 January 2006","NA","NA","NA","2005","12","FALSE"
"AccuSoft-AM LLC
TITLE:  Software Developer
START DATE/ TIME:  As soon as possible
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  AccuSoft-AM LLC is looking for motivated Developers
for expanding current development team. The main responsibility of hired
persons will be development of VisiQuest software system, which is
multiplatform visual framework for advanced image/data manipulating.
REQUIRED QUALIFICATIONS:
- Bachelor's/Master's degree in CS or related discipline;
- Mathematical background is desired;
- 3+ years of professional software development experience;
- Analytical, technical and interpersonal skills;
- Ability to work on multiple projects at the same time;
- Experience in system and application programming for Windows and/or
UNIX/Linux; 
- Experience in developing multithreaded, distributed and/or
client-server applications with POSIX sockets is desired;
- Excellent knowledge of C and C++ languages as well as their ANSI/ISO
standards; 
- Knowledge of C#, Perl and UNIX shell scripts;
- Knowledge of English and Russian languages on communication level.
REMUNERATION/ SALARY:  Negotiable, depends on qualification.
APPLICATION PROCEDURES:  If this position is of interest to you or you
would like to get more information on the role, please e-mail your CV or
questions to: accusoft@....
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  26 December 2005
APPLICATION DEADLINE:  25 January 2005
ABOUT COMPANY:  AccuSoft-AM LLC is business partner of AccuSoft Corp.,
USA: www.accusoft.com.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Dec 26, 2005","Software Developer","AccuSoft-AM LLC","NA","NA","NA","NA","As soon as possible","Permanent","Yerevan, Armenia","AccuSoft-AM LLC is looking for motivated Developers
for expanding current development team. The main responsibility of hired
persons will be development of VisiQuest software system, which is
multiplatform visual framework for advanced image/data manipulating.","NA","- Bachelor's/Master's degree in CS or related discipline;
- Mathematical background is desired;
- 3+ years of professional software development experience;
- Analytical, technical and interpersonal skills;
- Ability to work on multiple projects at the same time;
- Experience in system and application programming for Windows and/or
UNIX/Linux; 
- Experience in developing multithreaded, distributed and/or
client-server applications with POSIX sockets is desired;
- Excellent knowledge of C and C++ languages as well as their ANSI/ISO
standards; 
- Knowledge of C#, Perl and UNIX shell scripts;
- Knowledge of English and Russian languages on communication level.","Negotiable, depends on qualification.","If this position is of interest to you or you
would like to get more information on the role, please e-mail your CV or
questions to: accusoft@....
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","26 December 2005","25 January 2005","NA","AccuSoft-AM LLC is business partner of AccuSoft Corp.,
USA: www.accusoft.com.","NA","2005","12","TRUE"
"Armenian National Center of International Theatre Institute (ITI)/ UNESCO
TITLE:  Administrative Volunteer
OPEN TO/ ELIGIBILITY CRITERIA:  Students and/ or recent graduates.
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The selected candidate will be involved in a variety
of activities of the National Center of ITI and work under the guidance
of President and Coordinator of Armenian ITI.
JOB RESPONSIBILITIES:
- Assist in daily works of the center;
- Carry out the correspondence of the center with Headquarters and other
National Centers of ITI;
- Translate letters from/ into English language;
- Collect information on main theaters, performing art festivals,
performing arts school and university theater departments, performing
art resource centers, magazines as well as main organizations in Armenia
interlinked with the theatre;
- Assist in creating and updating the National Page of Armenia of the
ITI web site;
- Assist in preparation of the International Shakespeare
Festival-ARMMONO;
- Assist in organizing meetings and theatrical tours organized by the
Armenian ITI.
REQUIRED QUALIFICATIONS:
- Good communication skills;
- Ability to work in a team;
- Fluency in Armenian and English languages. Knowledge of Russian
language is a plus;  
- Strong computer skills; 
- Ability to work under pressure and on multiple tasks;
- Openness to new ideas and creativity.
APPLICATION PROCEDURES:  Interested candidates should e-mail their CVs
to: itiarm@....
Please clearly mention in your application letter that you learned of
this volunteering opportunity through Career Center and mention the URL
of its website - www.careercenter.am, Thanks.
OPENING DATE:  26 December 2005
APPLICATION DEADLINE:  10 January 2005
ABOUT COMPANY:  The International Theatre Institute (ITI) is an
international non-governmental organization (NGO) founded in Prague in
1948 by UNESCO and the international theatre community. As a worldwide
network, ITI aims ""to promote international exchange of knowledge and
practice in theatre arts (drama, dance, music theatre) in order to
consolidate peace and solidarity between peoples, to deepen mutual
understanding and increase creative co-operation between all people in
the theatre arts"". ITI has National ITI Centers and institutional
Co-operating Members in over 90 countries.
Armenian National Center of ITI was registered and lunched its
activities in 2003.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Dec 26, 2005","Administrative Volunteer","Armenian National Center of International Theatre Institute (ITI)/ UNESCO","NA","NA","Students and/ or recent graduates.","NA","NA","NA","Yerevan, Armenia","The selected candidate will be involved in a variety
of activities of the National Center of ITI and work under the guidance
of President and Coordinator of Armenian ITI.","- Assist in daily works of the center;
- Carry out the correspondence of the center with Headquarters and other
National Centers of ITI;
- Translate letters from/ into English language;
- Collect information on main theaters, performing art festivals,
performing arts school and university theater departments, performing
art resource centers, magazines as well as main organizations in Armenia
interlinked with the theatre;
- Assist in creating and updating the National Page of Armenia of the
ITI web site;
- Assist in preparation of the International Shakespeare
Festival-ARMMONO;
- Assist in organizing meetings and theatrical tours organized by the
Armenian ITI.","- Good communication skills;
- Ability to work in a team;
- Fluency in Armenian and English languages. Knowledge of Russian
language is a plus;  
- Strong computer skills; 
- Ability to work under pressure and on multiple tasks;
- Openness to new ideas and creativity.","NA","Interested candidates should e-mail their CVs
to: itiarm@....
Please clearly mention in your application letter that you learned of
this volunteering opportunity through Career Center and mention the URL
of its website - www.careercenter.am, Thanks.","26 December 2005","10 January 2005","NA","The International Theatre Institute (ITI) is an
international non-governmental organization (NGO) founded in Prague in
1948 by UNESCO and the international theatre community. As a worldwide
network, ITI aims ""to promote international exchange of knowledge and
practice in theatre arts (drama, dance, music theatre) in order to
consolidate peace and solidarity between peoples, to deepen mutual
understanding and increase creative co-operation between all people in
the theatre arts"". ITI has National ITI Centers and institutional
Co-operating Members in over 90 countries.
Armenian National Center of ITI was registered and lunched its
activities in 2003.","NA","2005","12","FALSE"
"Ameria CJSC
TITLE:  Auditor
START DATE/ TIME:  ASAP
DURATION:  Long term
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  N/A
JOB RESPONSIBILITIES:
- Provide audit and accounting services;
- Analyze financial, tax and accounting statements;
- Provide conclusions on reliability and accuracy of statements; 
- Evaluate internal control system; 
- Provide consultation on RA and International accounting standards;
- Maintain professional attitude to clients;
- Complete tasks assigned within the time budget;
- Share information with other members of the audit team;
- Communicate clearly (in both written and oral forms) with supervisors
and client staff;
- Coordinate client requests;
- Contribute to the commercial success of the client;
- Produce high quality documentation;
- Suggest ways to improve efficiency and service;
REQUIRED QUALIFICATIONS:
- Bachelors or Advanced degree in finance and/ or accounting;  
- At least 3 years of professional work experience;  
- Good knowledge and understanding of Armenian and International
Accounting and Auditing standards, financial rules and tax regulations;
- Previous work experience in international organizations is desirable;
- Strong computer skills;
- Ability to work well under pressure;
- Excellent organizational and communication skills.
REMUNERATION/ SALARY:  Highly competitive, based on experience and
qualifications.
APPLICATION PROCEDURES:  To apply for this position, please submit a
resume addressing relevant qualifications and experience and information
on professional reference strictly to: ameria@... or fax to:
374-10-546800. Only short listed candidates will be invited for the
interview. No visits or phone calls, please.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  26 December 2005
APPLICATION DEADLINE:  15 January 2006
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Dec 26, 2005","Auditor","Ameria CJSC","NA","NA","NA","NA","ASAP","Long term","Yerevan, Armenia","N/A","- Provide audit and accounting services;
- Analyze financial, tax and accounting statements;
- Provide conclusions on reliability and accuracy of statements; 
- Evaluate internal control system; 
- Provide consultation on RA and International accounting standards;
- Maintain professional attitude to clients;
- Complete tasks assigned within the time budget;
- Share information with other members of the audit team;
- Communicate clearly (in both written and oral forms) with supervisors
and client staff;
- Coordinate client requests;
- Contribute to the commercial success of the client;
- Produce high quality documentation;
- Suggest ways to improve efficiency and service;","- Bachelors or Advanced degree in finance and/ or accounting;  
- At least 3 years of professional work experience;  
- Good knowledge and understanding of Armenian and International
Accounting and Auditing standards, financial rules and tax regulations;
- Previous work experience in international organizations is desirable;
- Strong computer skills;
- Ability to work well under pressure;
- Excellent organizational and communication skills.","Highly competitive, based on experience and
qualifications.","To apply for this position, please submit a
resume addressing relevant qualifications and experience and information
on professional reference strictly to: ameria@... or fax to:
374-10-546800. Only short listed candidates will be invited for the
interview. No visits or phone calls, please.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","26 December 2005","15 January 2006","NA","NA","NA","2005","12","FALSE"
"Ameria CJSC
TITLE:  Accountant
TERM:  Full time
START DATE/ TIME:  ASAP
DURATION:  Long term
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  N/A
JOB RESPONSIBILITIES:
- Handle daily transactions and accounting procedures;
- Report to the appropriate regulatory authorities; 
- Provide consultation on RA and International accounting standards;
- Prepare and submit all financial statements and internal reports
accurately and on time;   
- Control supporting documents;  
- Assist in the preparation and review of the budget;
- Prepare budget status reports, expenses, savings and reports on
overall business activity; 
- Prepare and keep the inventory information.
REQUIRED QUALIFICATIONS:
- Bachelors or Advanced degree in accounting or finance;  
- At least 3 years of relevant work experience;  
- Good knowledge and understanding of Armenian and International
Accounting standards, financial rules and tax regulations; 
- Strong computer skills;
- Knowledge of accounting software; 
- Ability to work well under pressure;
- Excellent organizational and communication skills;
- Previous work experience in international organizations is strongly
desirable.
REMUNERATION/ SALARY:  Highly competitive, based on experience and
qualifications.
APPLICATION PROCEDURES:  To apply for this position, please submit a
resume addressing relevant qualifications and experience and information
on professional reference strictly to:ameria@... or fax to: 374-10-546800. Only short listed candidates
will be invited for the interview. No visits or phone calls, please.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  26 December 2005
APPLICATION DEADLINE:  15 January 2006
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Dec 26, 2005","Accountant","Ameria CJSC","NA","Full time","NA","NA","ASAP","Long term","Yerevan, Armenia","N/A","- Handle daily transactions and accounting procedures;
- Report to the appropriate regulatory authorities; 
- Provide consultation on RA and International accounting standards;
- Prepare and submit all financial statements and internal reports
accurately and on time;   
- Control supporting documents;  
- Assist in the preparation and review of the budget;
- Prepare budget status reports, expenses, savings and reports on
overall business activity; 
- Prepare and keep the inventory information.","- Bachelors or Advanced degree in accounting or finance;  
- At least 3 years of relevant work experience;  
- Good knowledge and understanding of Armenian and International
Accounting standards, financial rules and tax regulations; 
- Strong computer skills;
- Knowledge of accounting software; 
- Ability to work well under pressure;
- Excellent organizational and communication skills;
- Previous work experience in international organizations is strongly
desirable.","Highly competitive, based on experience and
qualifications.","To apply for this position, please submit a
resume addressing relevant qualifications and experience and information
on professional reference strictly to:ameria@... or fax to: 374-10-546800. Only short listed candidates
will be invited for the interview. No visits or phone calls, please.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","26 December 2005","15 January 2006","NA","NA","NA","2005","12","FALSE"
"Firmplace Corporation
TITLE:  Data Coordinator
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  N/A
JOB RESPONSIBILITIES:
- Review and process data to ensure the accuracy and consistency of the
database;
- Perform data related activities (tracking, reviewing, validation and
updating).
REQUIRED QUALIFICATIONS:
- BS degree;
- Fluency in English language;
- Good communication skills;
- Accurate and motivated.
APPLICATION PROCEDURES:  Please email your CV in English to:jobs@.... Clearly indicate the position you are applying for
in the subject field of your email.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  27 December 2005
APPLICATION DEADLINE:  20 January 2006
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Dec 27, 2005","Data Coordinator","Firmplace Corporation","NA","NA","NA","NA","NA","NA","Yerevan, Armenia","N/A","- Review and process data to ensure the accuracy and consistency of the
database;
- Perform data related activities (tracking, reviewing, validation and
updating).","- BS degree;
- Fluency in English language;
- Good communication skills;
- Accurate and motivated.","NA","Please email your CV in English to:jobs@.... Clearly indicate the position you are applying for
in the subject field of your email.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","27 December 2005","20 January 2006","NA","NA","NA","2005","12","FALSE"
"Gamma LTD
TITLE:  Translator-Referent
LOCATION:  Jrvezh, Armenia
JOB DESCRIPTION:  Gamma LTD is seeking candidates for the position of
Translator-Referent. The successful candidate will perform a wide
variety of secretarial and clerical duties as well as make written and
oral translations.
JOB RESPONSIBILITIES:
- Prepare and maintain a variety of records, paper and electronic
files;
- Make written and oral translations from English into Armenian
languages and vice versa;
- Maintain daily correspondence;
- Handle telephone calls for direct supervisors and provide backup
telephone support for the rest of the staff;
- Operate office machines and equipment including printer, fax and copy
machines;
- Operate a computer to enter and retrieve data, maintain records and
generate documents.
REQUIRED QUALIFICATIONS:
- Bachelor's degree in linguistics;
- Excellent verbal and written skills in English, Russian and Armenian
languages;
- Work experience in a similar field; 
- Good knowledge of MS Office Package.
APPLICATION PROCEDURES:  Interested and qualified candidates should
email their resumes to: arega@.... Please mention ""Translator""
in the subject line of your e-mail.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  27 December 2005
APPLICATION DEADLINE:  15 January 2006
ABOUT COMPANY:  Gamma Ltd is occupied with the production of tin cans
and canned food.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Dec 27, 2005","Translator-Referent","Gamma LTD","NA","NA","NA","NA","NA","NA","Jrvezh, Armenia","Gamma LTD is seeking candidates for the position of
Translator-Referent. The successful candidate will perform a wide
variety of secretarial and clerical duties as well as make written and
oral translations.","- Prepare and maintain a variety of records, paper and electronic
files;
- Make written and oral translations from English into Armenian
languages and vice versa;
- Maintain daily correspondence;
- Handle telephone calls for direct supervisors and provide backup
telephone support for the rest of the staff;
- Operate office machines and equipment including printer, fax and copy
machines;
- Operate a computer to enter and retrieve data, maintain records and
generate documents.","- Bachelor's degree in linguistics;
- Excellent verbal and written skills in English, Russian and Armenian
languages;
- Work experience in a similar field; 
- Good knowledge of MS Office Package.","NA","Interested and qualified candidates should
email their resumes to: arega@.... Please mention ""Translator""
in the subject line of your e-mail.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","27 December 2005","15 January 2006","NA","Gamma Ltd is occupied with the production of tin cans
and canned food.","NA","2005","12","FALSE"
