"jobpost","date","Title","Company","AnnouncementCode","Term","Eligibility","Audience","StartDate","Duration","Location","JobDescription","JobRequirment","RequiredQual","Salary","ApplicationP","OpeningDate","Deadline","Notes","AboutC","Attach","Year","Month","IT"
"Career Center
TITLE:  Receptionist/ Admin Assistant
TERM:  Part-time (Full-time preferable)
OPEN TO/ ELIGIBILITY CRITERIA:  Everyone
START DATE/ TIME:  ASAP
DURATION:  6-12 months
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The basic purpose of this position is to ensure smooth
communication and feedback with visitors, donor, partner and other
organizations.
JOB RESPONSIBILITIES:
- Answer and screen telephone queries with discretion; take notes and
make appointments;
- Greet visitors;
- Register and route all incoming and outgoing mails;
- Draft outgoing correspondence of general and administrative
character;
- Assist the staff in everyday routine work;
- Send and receive faxes, letters and e-mails; 
- Maintain telephone directory;
- Make translations from and to English-Armenian-Russian languages;
- Assist in the arrangement of receptions, workshops, training events
and conferences on a range of issues related to Career Center projects;
- Assist in routine administrative tasks.
REQUIRED QUALIFICATIONS:
- Good knowledge of both oral and written Armenian, English and Russian
languages;
- Computer proficiency in MS Applications (Windows, Word, Excel), as
well as Internet and Email software;
- Punctual, Communicative, open-minded, self-confident, eager to learn &
flexible;
- Ability to complete the tasks in a timely manner.
APPLICATION PROCEDURES:  Preferably deliver hard copies of your resume
and a cover letter explaining why you are interested in this position to
address: Komitas 56
Alternatively e-mail the above mentioned to: mailbox@.... In
the subject of your e-mail please mention the position you're applying
for.
Only short listed applicants will be contacted for interview. Former
Applicants are asked not to apply unless they want to modify their
application.
Please clearly mention in your application letter that you learned of
this volunteering opportunity through Career Center and mention the URL
of its website - www.careercenter.am, Thanks.
OPENING DATE:  09 February 2004
APPLICATION DEADLINE:  20 February 2004
ABOUT COMPANY:  Career Center is an Armenian NGO established in March
2002 working in the field of employment and career. We're implementing
different projects aiming at improvements in the above mentioned fields.
ADDITIONAL NOTES:  This is an excellent opportunity especially for newly
or recent graduates to demonstrate their knowledge and get a hands on
experience in a busy office environment.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Feb 8, 2005","Receptionist/ Admin Assistant","Career Center","NA","Part-time (Full-time preferable)","Everyone","NA","ASAP","6-12 months","Yerevan, Armenia","The basic purpose of this position is to ensure smooth
communication and feedback with visitors, donor, partner and other
organizations.","- Answer and screen telephone queries with discretion; take notes and
make appointments;
- Greet visitors;
- Register and route all incoming and outgoing mails;
- Draft outgoing correspondence of general and administrative
character;
- Assist the staff in everyday routine work;
- Send and receive faxes, letters and e-mails; 
- Maintain telephone directory;
- Make translations from and to English-Armenian-Russian languages;
- Assist in the arrangement of receptions, workshops, training events
and conferences on a range of issues related to Career Center projects;
- Assist in routine administrative tasks.","- Good knowledge of both oral and written Armenian, English and Russian
languages;
- Computer proficiency in MS Applications (Windows, Word, Excel), as
well as Internet and Email software;
- Punctual, Communicative, open-minded, self-confident, eager to learn &
flexible;
- Ability to complete the tasks in a timely manner.","NA","Preferably deliver hard copies of your resume
and a cover letter explaining why you are interested in this position to
address: Komitas 56
Alternatively e-mail the above mentioned to: mailbox@.... In
the subject of your e-mail please mention the position you're applying
for.
Only short listed applicants will be contacted for interview. Former
Applicants are asked not to apply unless they want to modify their
application.
Please clearly mention in your application letter that you learned of
this volunteering opportunity through Career Center and mention the URL
of its website - www.careercenter.am, Thanks.","09 February 2004","20 February 2004","This is an excellent opportunity especially for newly
or recent graduates to demonstrate their knowledge and get a hands on
experience in a busy office environment.","Career Center is an Armenian NGO established in March
2002 working in the field of employment and career. We're implementing
different projects aiming at improvements in the above mentioned fields.","NA","2005","2","FALSE"
"UNHCR Armenia
TITLE:  Intern in Protection Unit
START DATE/ TIME:  Immediately
DURATION:  3 months with possible extension to 6 months
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  N/A
JOB RESPONSIBILITIES:
- Translation of documents, reports to/from Armenian and Russian to/from
English;
- Draft routine correspondence based on instructions;
- Carry out tasks for production and distribution of reports, photocopy,
etc.;
- Maintain and update manuals, files and simple office records;
- Arrange appointments, receive visitors, etc.;
- Answer the telephone and respond to routine inquiries;
- Perform other duties as required;
REQUIRED QUALIFICATIONS:
- Proficiency in Armenian, English and Russian languages (both written
and verbal);
- Ability to utilize MS Word and MS Excel;
- Good communication skills;
- Well organized, motivated;
- Ability to work in a team;
- Previous experience in related field is preferable.
APPLICATION PROCEDURES:  To apply please contact Sevan Petrosyan, UNHCR
Armenia Office at: (3741) 564771, 584292, 545935 (Monday- Friday,
10.00-16.00) or send your resumes with your contact details to:petrosya@....
Please clearly mention in your application letter that you learned of
this internship opportunity through Career Center and mention the URL of
its website - www.careercenter.am, Thanks.
OPENING DATE:  09 February 2005
APPLICATION DEADLINE:  16 February 2005
ABOUT COMPANY:  UNHCR Armenia is the representation of United Nations
High Commissioner for Refugees in Armenia.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Feb 9, 2005","Intern in Protection Unit","UNHCR Armenia","NA","NA","NA","NA","Immediately","3 months with possible extension to 6 months","Yerevan, Armenia","N/A","- Translation of documents, reports to/from Armenian and Russian to/from
English;
- Draft routine correspondence based on instructions;
- Carry out tasks for production and distribution of reports, photocopy,
etc.;
- Maintain and update manuals, files and simple office records;
- Arrange appointments, receive visitors, etc.;
- Answer the telephone and respond to routine inquiries;
- Perform other duties as required;","- Proficiency in Armenian, English and Russian languages (both written
and verbal);
- Ability to utilize MS Word and MS Excel;
- Good communication skills;
- Well organized, motivated;
- Ability to work in a team;
- Previous experience in related field is preferable.","NA","To apply please contact Sevan Petrosyan, UNHCR
Armenia Office at: (3741) 564771, 584292, 545935 (Monday- Friday,
10.00-16.00) or send your resumes with your contact details to:petrosya@....
Please clearly mention in your application letter that you learned of
this internship opportunity through Career Center and mention the URL of
its website - www.careercenter.am, Thanks.","09 February 2005","16 February 2005","NA","UNHCR Armenia is the representation of United Nations
High Commissioner for Refugees in Armenia.","NA","2005","2","FALSE"
"Procter & Gamble
TITLE:  Customer Business Development Manager
ANNOUNCEMENT CODE:  249763
OPEN TO/ ELIGIBILITY CRITERIA:  Permanent residents/citizens of Armenia.
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  Procter & Gamble is looking for a dynamic person to
fill the position of Customer Business Development Manager (CBD
Manager).
CBD Managers influence our customer's decisions in critical business
areas by using conceptual selling techniques and data-based
presentations. For consumer accounts, this involves developing
assortment, shelving, pricing and merchandising strategies, based on
consumer research that gives us insight into what drives shopper
purchase behavior. CBD Managers design business plans which will deliver
each brand volume and share objectives and help customers to develop
programs which will build the business for them and for us.
The job requires extensive travel around the city and in the region and,
if needed, relocation.
REQUIRED QUALIFICATIONS:
- A valid drivers license;
- Higher education;
- Fluent in English language;
- Strong communication and presentation skills.
APPLICATION PROCEDURES:  Please, visit our web-site at: www.go2pg.com
and submit your profile to job #: CBD00002155  Sales/Customer Business
DevelopmentAccount Manager 
or send your CV to e-mail: muradova.n@... or fax to: (374 1)444525.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  09 February 2005
APPLICATION DEADLINE:  09 March 2005
ABOUT COMPANY:  Procter & Gamble, an international company, is involved
in production and sales of fast moving consumer goods.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Feb 9, 2005","Customer Business Development Manager","Procter & Gamble","249763","NA","Permanent residents/citizens of Armenia.","NA","NA","NA","Yerevan, Armenia","Procter & Gamble is looking for a dynamic person to
fill the position of Customer Business Development Manager (CBD
Manager).
CBD Managers influence our customer's decisions in critical business
areas by using conceptual selling techniques and data-based
presentations. For consumer accounts, this involves developing
assortment, shelving, pricing and merchandising strategies, based on
consumer research that gives us insight into what drives shopper
purchase behavior. CBD Managers design business plans which will deliver
each brand volume and share objectives and help customers to develop
programs which will build the business for them and for us.
The job requires extensive travel around the city and in the region and,
if needed, relocation.","NA","- A valid drivers license;
- Higher education;
- Fluent in English language;
- Strong communication and presentation skills.","NA","Please, visit our web-site at: www.go2pg.com
and submit your profile to job #: CBD00002155  Sales/Customer Business
DevelopmentAccount Manager 
or send your CV to e-mail: muradova.n@... or fax to: (374 1)444525.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","09 February 2005","09 March 2005","NA","Procter & Gamble, an international company, is involved
in production and sales of fast moving consumer goods.","NA","2005","2","FALSE"
"Uralsib-Armfactor Ltd.
TITLE:  Client Manager/ Accountant
TERM:  Full Time
START DATE/ TIME:  10 March 2005
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The Company is currently seeking a qualified candidate
to fill the position of the Client Manager/Accountant.
JOB RESPONSIBILITIES:
- Single point of contact with customers;
- Responsible for contacts with foreign partners;
- Prepare and submit financial reports and other required documents to
Tax Inspectorate and Social Protection Fund;
- Maintain daily operations;
- Maintain the documentation flow;
- Other tasks as requested by the General Director.
REQUIRED QUALIFICATIONS:
- University degree or relevant certified training, preferably in
accounting or finance; 
- Minimum 2 years of experience as an accountant or financial officer;
- Excellent knowledge of the international accounting standards;
- Experience and skills with budget preparation and analysis; 
- Experience in reporting to tax authorities;
- Good communication skills;
- Knowledge of accounting software programs (1S is preferred);
- Strong computer skills, particularly MS Office;
- Effective verbal and written communication in Armenian, English and
Russian languages.
REMUNERATION/ SALARY:  Commensurate with experience.
APPLICATION PROCEDURES:  Interested candidates should submit their
resumes to: armfactor@....
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  09 February 2005
APPLICATION DEADLINE:  25 February 2005
ABOUT COMPANY:  Uralsib-Armfactor Ltd. is the Armenian representative of
the Uralsib Financial Corporation.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Feb 9, 2005","Client Manager/ Accountant","Uralsib-Armfactor Ltd.","NA","Full Time","NA","NA","10 March 2005","NA","Yerevan, Armenia","The Company is currently seeking a qualified candidate
to fill the position of the Client Manager/Accountant.","- Single point of contact with customers;
- Responsible for contacts with foreign partners;
- Prepare and submit financial reports and other required documents to
Tax Inspectorate and Social Protection Fund;
- Maintain daily operations;
- Maintain the documentation flow;
- Other tasks as requested by the General Director.","- University degree or relevant certified training, preferably in
accounting or finance; 
- Minimum 2 years of experience as an accountant or financial officer;
- Excellent knowledge of the international accounting standards;
- Experience and skills with budget preparation and analysis; 
- Experience in reporting to tax authorities;
- Good communication skills;
- Knowledge of accounting software programs (1S is preferred);
- Strong computer skills, particularly MS Office;
- Effective verbal and written communication in Armenian, English and
Russian languages.","Commensurate with experience.","Interested candidates should submit their
resumes to: armfactor@....
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","09 February 2005","25 February 2005","NA","Uralsib-Armfactor Ltd. is the Armenian representative of
the Uralsib Financial Corporation.","NA","2005","2","FALSE"
"Lycos Europe
TITLE:  Support System Administrator
START DATE/ TIME:  ASAP
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  Administrating of Linux (Unix) or Windows based
servers.
REQUIRED QUALIFICATIONS:  Advanced skills in Linux (Unix), and/or MS
Windows OS.
REMUNERATION/ SALARY:  Attractive
APPLICATION PROCEDURES:  Please send your CV to: info@....
You can also visit company recruitment web site at: www.lycos-europe.am
for more information.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  10 February 2005
APPLICATION DEADLINE:  10 March 2005
ABOUT COMPANY:  Lycos Europe is a European Internet company that
operates a pan-European network of websites in nine languages. Lycos
Communities is developing and operating a chat in Europe along with a
dating system, games and entertainment
ADDITIONAL NOTES:  Please clearly mention in your application letter
that you learned of this job opportunity through Career Center and
mention the URL of its website - www.careercenter.am, Thanks.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Feb 10, 2005","Support System Administrator","Lycos Europe","NA","NA","NA","NA","ASAP","Permanent","Yerevan, Armenia","Administrating of Linux (Unix) or Windows based
servers.","NA","Advanced skills in Linux (Unix), and/or MS
Windows OS.","Attractive","Please send your CV to: info@....
You can also visit company recruitment web site at: www.lycos-europe.am
for more information.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","10 February 2005","10 March 2005","Please clearly mention in your application letter
that you learned of this job opportunity through Career Center and
mention the URL of its website - www.careercenter.am, Thanks.","Lycos Europe is a European Internet company that
operates a pan-European network of websites in nine languages. Lycos
Communities is developing and operating a chat in Europe along with a
dating system, games and entertainment","NA","2005","2","FALSE"
"Mdecins Sans Frontires - Belgium
TITLE:  Day Centres Supervisor
TERM:  Full -time
LOCATION:  Sevan, Gegharkunik marz, Armenia
JOB DESCRIPTION:  Under the direct supervision of the expatriate MSF
Psychologist, the DC's Supervisor will participate in the set-up of the
Day Centres and Community Centres, supervise and ensure the well
functioning of the Centres and facilitate meetings.
This job requires high level of availability and mobility and is based
in MSF office in Sevan.
REQUIRED QUALIFICATIONS:
- Masters degree in psychology.
Personal skills:
- Staff management skills;
- Conflict management skills
- Social skills and ability to be affirmative;
- Organizational skills;
- Ability to communicate;
- Self-criticism;
- Leadership skills;
- Initiative;
- Excellent listening and team working skills;
- Training skills;
- Reporting skills;
- Representation skills;
- Maturity and competence.
Preferred qualifications:
- Solid knowledge about psychopathologies and their respective
treatments;
- Group animation skills;
- Previous work experience with children;
- Previous work experience related to Mental Health is an advantage.
Additional skills:
- Fluent in English (written and spoken) and knowledge of Russian
languages.
APPLICATION PROCEDURES:  Please, submit applications (CV, Motivation
Letter, 3 Reference Letters) to: 
Mdecins Sans Frontires-Belgium office 
Aaddress: 48 Manushyan St., Yerevan
Tel: 27-62-27
E-mail: msfb@...
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  10 February 2005
APPLICATION DEADLINE:  21 February 2005
ABOUT:  The Outpatient Mental Health Project is constituted by a network
of 4 Day Centres in Sevan, Gavar, Tchambarak and Vardenis, a Mental
Health Centre in Sevan and Regional specialists in all the regions of
the Gegharkunik marz. It is a pilot project run by the MoH and Mdecins
Sans Frontires-Belgium aiming to provide outpatient mental health
services through a multidisciplinary approach in the marz. The
Gegharkunik marzpetaran and its municipalities as well as local partners
(Vardenis neuropsychiatric Internat, Mission Armenia) are implementing
partners of the project.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Feb 10, 2005","Day Centres Supervisor","Mdecins Sans Frontires - Belgium","NA","Full -time","NA","NA","NA","NA","Sevan, Gegharkunik marz, Armenia","Under the direct supervision of the expatriate MSF
Psychologist, the DC's Supervisor will participate in the set-up of the
Day Centres and Community Centres, supervise and ensure the well
functioning of the Centres and facilitate meetings.
This job requires high level of availability and mobility and is based
in MSF office in Sevan.","NA","- Masters degree in psychology.
Personal skills:
- Staff management skills;
- Conflict management skills
- Social skills and ability to be affirmative;
- Organizational skills;
- Ability to communicate;
- Self-criticism;
- Leadership skills;
- Initiative;
- Excellent listening and team working skills;
- Training skills;
- Reporting skills;
- Representation skills;
- Maturity and competence.
Preferred qualifications:
- Solid knowledge about psychopathologies and their respective
treatments;
- Group animation skills;
- Previous work experience with children;
- Previous work experience related to Mental Health is an advantage.
Additional skills:
- Fluent in English (written and spoken) and knowledge of Russian
languages.","NA","Please, submit applications (CV, Motivation
Letter, 3 Reference Letters) to: 
Mdecins Sans Frontires-Belgium office 
Aaddress: 48 Manushyan St., Yerevan
Tel: 27-62-27
E-mail: msfb@...
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","10 February 2005","21 February 2005
ABOUT:  The Outpatient Mental Health Project is constituted by a network
of 4 Day Centres in Sevan, Gavar, Tchambarak and Vardenis, a Mental
Health Centre in Sevan and Regional specialists in all the regions of
the Gegharkunik marz. It is a pilot project run by the MoH and Mdecins
Sans Frontires-Belgium aiming to provide outpatient mental health
services through a multidisciplinary approach in the marz. The
Gegharkunik marzpetaran and its municipalities as well as local partners
(Vardenis neuropsychiatric Internat, Mission Armenia) are implementing
partners of the project.","NA","NA","NA","2005","2","FALSE"
"""Radvan Technology"" LTD
TITLE:  Marketing Expert
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  N/A
REQUIRED QUALIFICATIONS:
- Higher education in economics;
- 3 years of work experience in a relevant field; 
- Knowledge of Russian and English languages;
- Knowledge of the computer;
- Skills to work with the staff.
REMUNERATION/ SALARY:  The salary is contractual (high)
APPLICATION PROCEDURES:  Please send your applications to:rvtech@....
It is necessary for the candidates to have:
- Resume
- Photograph (3x4)
- Information from previous work-place (work-record card)
- Letter of recommendation.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  10 February 2005
APPLICATION DEADLINE:  10 March 2005
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Feb 11, 2005","Marketing Expert","""Radvan Technology"" LTD","NA","NA","NA","NA","NA","NA","Yerevan, Armenia","N/A","NA","- Higher education in economics;
- 3 years of work experience in a relevant field; 
- Knowledge of Russian and English languages;
- Knowledge of the computer;
- Skills to work with the staff.","The salary is contractual (high)","Please send your applications to:rvtech@....
It is necessary for the candidates to have:
- Resume
- Photograph (3x4)
- Information from previous work-place (work-record card)
- Letter of recommendation.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","10 February 2005","10 March 2005","NA","NA","NA","2005","2","FALSE"
"Cascade Capital Holdings CJSC
TITLE:  Programmer
TERM:  Full time
START DATE/ TIME:  February 2005 or as agreed.
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  Cascade Capital Holdings (CCH) CJSC is looking for
motivated, self-driven, highly professional candidates for the position
of Programmer. 
Initially the incumbent will be responsible for a specific software
development task to be accomplished within six months. Then, if
necessary, the employment will be prolonged. The programmer will work
under supervision of the CCH IT manager. 
We are looking for a well organized and hard working person able to work
in a western-style office environment towards the achievement of team
goals.
JOB RESPONSIBILITIES:
- Development of Finance Specific software;
- Other relative tasks as necessary.
REQUIRED QUALIFICATIONS:
- Knowledge of Visual Basic, SQL;
- Knowledge of web programming;
- Knowledge of Windows XP and Windows 2000 operational systems;
Desired Qualifications:
- Knowledge of theory of coding (encryption);
- Knowledge of Armenian Software applications;
- Practical experience;
- General understanding of Finance/Insurance.
APPLICATION PROCEDURES:  Please send a cover letter and CV in English tocareers@.... Please clearly indicate Programmer in
the subject field of your e-mail. Only short-listed candidates will be
contacted.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  11 February 2005
APPLICATION DEADLINE:  11 March 2005
ABOUT COMPANY:  Cascade Capital Holdings CJSC is a company established
by Cafesjian Family Foundation to foster the development of an
integrated financial services group in Armenia that offers services and
products to the Armenian business community.
Cascade Capital Holdings CJSC is an equal opportunity employer.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Feb 11, 2005","Programmer","Cascade Capital Holdings CJSC","NA","Full time","NA","NA","February 2005 or as agreed.","NA","Yerevan, Armenia","Cascade Capital Holdings (CCH) CJSC is looking for
motivated, self-driven, highly professional candidates for the position
of Programmer. 
Initially the incumbent will be responsible for a specific software
development task to be accomplished within six months. Then, if
necessary, the employment will be prolonged. The programmer will work
under supervision of the CCH IT manager. 
We are looking for a well organized and hard working person able to work
in a western-style office environment towards the achievement of team
goals.","- Development of Finance Specific software;
- Other relative tasks as necessary.","- Knowledge of Visual Basic, SQL;
- Knowledge of web programming;
- Knowledge of Windows XP and Windows 2000 operational systems;
Desired Qualifications:
- Knowledge of theory of coding (encryption);
- Knowledge of Armenian Software applications;
- Practical experience;
- General understanding of Finance/Insurance.","NA","Please send a cover letter and CV in English tocareers@.... Please clearly indicate Programmer in
the subject field of your e-mail. Only short-listed candidates will be
contacted.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","11 February 2005","11 March 2005","NA","Cascade Capital Holdings CJSC is a company established
by Cafesjian Family Foundation to foster the development of an
integrated financial services group in Armenia that offers services and
products to the Armenian business community.
Cascade Capital Holdings CJSC is an equal opportunity employer.","NA","2005","2","TRUE"
"Outsourcing Armenia
TITLE:  Graphic Designers
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  Outsourcing Armenia is looking for Web Graphic
Designers to work out usable structures of the future web-sites and
design their interfaces. The design shall be completed, simple and
usable.
REQUIRED QUALIFICATIONS:
- Perfect knowledge of the theory of design, Adobe Graphic Suite, Corel
Draw and Photopaint;
- Knowledge of HTML, programs for working with 3D preferred.
APPLICATION PROCEDURES:  Please send your resume in English to the
Project Manager Mr. Sedrak Mkrtchyan to: hr@....
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  14 February 2005
APPLICATION DEADLINE:  07 March 2005, 6 PM
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Feb 13, 2005","Graphic Designers","Outsourcing Armenia","NA","NA","NA","NA","NA","NA","Yerevan, Armenia","Outsourcing Armenia is looking for Web Graphic
Designers to work out usable structures of the future web-sites and
design their interfaces. The design shall be completed, simple and
usable.","NA","- Perfect knowledge of the theory of design, Adobe Graphic Suite, Corel
Draw and Photopaint;
- Knowledge of HTML, programs for working with 3D preferred.","NA","Please send your resume in English to the
Project Manager Mr. Sedrak Mkrtchyan to: hr@....
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","14 February 2005","07 March 2005, 6 PM","NA","NA","NA","2005","2","TRUE"
"Outsourcing Armenia
TITLE:  Web Coder
OPEN TO/ ELIGIBILITY CRITERIA:  HTML/CSS/JavaScript Coders
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  N/A
JOB RESPONSIBILITIES:  The Web Coder manages the HTML code using the
primary design given by the Graphic Designer.
REQUIRED QUALIFICATIONS:
- Perfect knowledge of HTML, CSS, JavaScript;
- Knowledge of XML, DHTML is preferred.
APPLICATION PROCEDURES:  Please send your resume in English to the
Project Manager Mr. Sedrak Mkrtchyan at: hr@....
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  14 February 2005
APPLICATION DEADLINE:  07 March 2005, 6 PM
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Feb 13, 2005","Web Coder","Outsourcing Armenia","NA","NA","HTML/CSS/JavaScript Coders","NA","NA","NA","Yerevan, Armenia","N/A","The Web Coder manages the HTML code using the
primary design given by the Graphic Designer.","- Perfect knowledge of HTML, CSS, JavaScript;
- Knowledge of XML, DHTML is preferred.","NA","Please send your resume in English to the
Project Manager Mr. Sedrak Mkrtchyan at: hr@....
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","14 February 2005","07 March 2005, 6 PM","NA","NA","NA","2005","2","TRUE"
